sample	acc	study	study_title	contact_name	contact_email	country	site	collection_date	sample_prep	bases	bases_mapped	bases_duplicated	avg_read_length	mean_base_quality	bases_of_1X_coverage	bases_of_5X_coverage	bases_of_10X_coverage	bases_of_50X_coverage	mean_coverage	mean_fragment_size	sd_fragment_size	%callable
PD0651-C	ERS347715	1052	Tracking Resistance to Artemisinin Collaboration (TRAC)	Elizabeth Ashley	liz@tropmedres.ac	Thailand	Sisakhet	16/11/2012		853136643	775192243	35220157	99	24.7	22742128	20678086	18165966	5797179	33.77	212.6	72.4	80.04
PD0658-C	ERS347685	1052	Tracking Resistance to Artemisinin Collaboration (TRAC)	Elizabeth Ashley	liz@tropmedres.ac	Thailand	Sisakhet	18/12/2012		2532726013	2487956013	110962917	98	25	23133285	22757696	22188798	16661419	105.5	219.5	79.3	89.05
PD0659-C	ERS347692	1052	Tracking Resistance to Artemisinin Collaboration (TRAC)	Elizabeth Ashley	liz@tropmedres.ac	Thailand	Sisakhet	24/12/2012		2115772520	2056006820	95639994	99	25.1	23118215	22768404	22254405	16701821	87.73	201.3	67.8	89.18
PD0660-C	ERS347698	1052	Tracking Resistance to Artemisinin Collaboration (TRAC)	Elizabeth Ashley	liz@tropmedres.ac	Thailand	Sisakhet	16/01/2013		1769302518	1004782218	70974694	99	23.5	22802739	20469180	18064023	8492606	43.32	281.7	86.3	75.87
PD0662-C	ERS347710	1052	Tracking Resistance to Artemisinin Collaboration (TRAC)	Elizabeth Ashley	liz@tropmedres.ac	Thailand	Sisakhet	04/12/2012		2641231601	2600655401	104452840	99	25.6	23126786	22761534	22234481	17222815	110.65	207.9	68.9	89.13
PD0663-C	ERS347716	1052	Tracking Resistance to Artemisinin Collaboration (TRAC)	Elizabeth Ashley	liz@tropmedres.ac	Thailand	Sisakhet	06/12/2012		1310418589	1241034489	49670756	99	25.4	23063552	22372797	21220591	12189935	53.28	255.2	66.6	87.57
PD0664-C	ERS347644	1052	Tracking Resistance to Artemisinin Collaboration (TRAC)	Elizabeth Ashley	liz@tropmedres.ac	Thailand	Sisakhet	13/12/2012		1897112847	1759869647	76477096	99	25.3	23154645	22804199	22279751	15640394	75.42	225	81.6	89.26
PD0665-C	ERS347651	1052	Tracking Resistance to Artemisinin Collaboration (TRAC)	Elizabeth Ashley	liz@tropmedres.ac	Thailand	Sisakhet	21/12/2012		204307669	128567469	6840024	99	24.8	20219414	11915541	4023787	21537	6.33	241.5	88.6	45.58
PD0667-C	ERS347665	1052	Tracking Resistance to Artemisinin Collaboration (TRAC)	Elizabeth Ashley	liz@tropmedres.ac	Thailand	Sisakhet	11/01/2013		1883858015	1823632115	72637703	99	25.2	23222187	22871689	22248412	15732198	77.7	218.1	80.2	89.49
PD0668-C	ERS347672	1052	Tracking Resistance to Artemisinin Collaboration (TRAC)	Elizabeth Ashley	liz@tropmedres.ac	Thailand	Sisakhet	15/01/2013		1154837715	1082939815	46483284	99	24.7	22734987	20529938	18173603	9756193	47.16	241	91.1	79.37
PD0670-C	ERS347686	1052	Tracking Resistance to Artemisinin Collaboration (TRAC)	Elizabeth Ashley	liz@tropmedres.ac	Thailand	Sisakhet	19/01/2013		1472671944	1410319344	62804446	99	24.7	22977384	21806863	20171055	11927396	60.79	265.1	74.1	84.94
PF0004-C	ERS010122	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	19/08/2009		1565497222	1115823842	297591597	75	23.7	23023595	20945168	18391819	8815376	41.67	257.2	92.4	80.55
PF0006-C	ERS154461	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	20/08/2009		1298992061	1246204461	45691389	99	25.5	22673334	21031675	19452186	11922801	54.52	264.8	75.8	81.37
PF0007-C	ERS010114	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	21/08/2009		489150882	194753330	21323061	75	22.3	22980215	18842766	8217519	12617	8.46	206.7	87	70.21
PF0008-C	ERS164679	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	23/08/2009		894276558	755377458	33049870	99	25.2	23057944	22185476	20585230	3456885	32.69	234.9	68	86.19
PF0009-C	ERS010582	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	24/08/2009		1050938920	943047572	101979595	74	22.4	22567176	20283506	17968726	6207015	41.26	266.3	878.9	73.69
PF0010-C	ERS010583	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	24/08/2009		1355474579	1271598699	100920680	75	22.8	21975733	19465171	17355485	8835744	56.86	137.2	56.5	72.94
PF0011-C	ERS010584	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	24/08/2009		1622018259	1511373279	134688714	75	22.7	21976779	19293908	17225196	9420950	66.51	149.3	67	71.77
PF0012-C	ERS164669	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	19/08/2009		951141762	825922762	36783460	99	24.9	23240938	22704855	21319504	5211322	35.44	229.6	71.5	88.24
PF0016-C	ERS010115	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	19/08/2009		295122035	250523639	29695918	75	24.9	23054858	20805753	13000066	28976	10.87	217.2	89.5	79.59
PF0020-C	ERS154462	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	21/08/2009		738610252	684008852	24855727	99	25.4	22479991	20143544	17737054	3900689	30.29	262.5	74	77.86
PF0021-C	ERS010585	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	21/08/2009		1367086463	1290416827	97261364	75	23	21604368	18630121	16441443	8586609	58.55	156.2	70.1	69.66
PF0022-C	ERS009734	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	22/08/2009		4514234647	4346244095	234427015	75	26	23278236	23179490	23109405	22731005	185.8	338.7	97.2	90.1
PF0024-C	ERS009727	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	24/08/2009		2669116455	2486087327	177324863	75	24.8	23283434	23222414	23149108	21447327	105.69	322.4	85.8	89.69
PF0025-C	ERS010586	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	26/08/2009		997995435	902119763	80664982	75	22.2	21131781	17635343	15031261	5610131	41.98	147.6	120.1	65.05
PF0026-C	ERS010587	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	26/08/2009		904902664	824478096	107615740	74	21.7	21543657	17794945	14810141	4901985	37.85	312.8	1168.9	62.4
PF0027-C	ERS154517	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	26/08/2009		633509710	574878210	20893256	99	24.6	21849196	18020904	15217023	3072113	26.3	287.8	95.5	68.68
PF0028-C	ERS010588	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	27/08/2009		1101102761	1042575997	81830724	75	22.8	21474773	18608852	16354006	7353839	47.99	126.2	49.5	70.07
PF0029-C	ERS010123	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	27/08/2009		6707274911	4686336187	321008293	75	22.4	23290417	23195667	22981165	19418319	197.22	242.3	88.1	90.43
PF0030-C	ERS154454	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	25/08/2009		1097558934	1022886134	40024475	99	25.3	23285840	22778440	21492140	10100043	43.73	264.9	74.9	88.78
PF0031-C	ERS010105	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	28/08/2009		232810842	167919002	21120878	75	24.1	22669062	16741837	5967310	11054	7.4	214.2	96.1	60.31
PF0032-C	ERS010106	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	29/08/2009		82641787	64992611	8904321	75	24.9	19955277	4537707	266264	3667	3.26	209.5	93.9	10.71
PF0033-C	ERS154455	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	03/09/2009		969765699	920190399	35810389	99	25	23150063	22195542	20607902	8438029	39.7	267.2	77.1	86.26
PF0035-C	ERS010089	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	04/09/2009		1756776683	1653229343	116853528	75	25.5	23137007	23021784	22915964	18959543	71.05	292.7	38.3	89.81
PF0036-C	ERS010084	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	07/09/2009		1530012529	1318156525	66613292	75	25.1	23298880	23196054	22960056	14451245	56.38	342.9	35.5	89.9
PF0037-C	ERS164655	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	07/09/2009		784262317	695682517	30309564	99	24.9	23085070	22092867	20185991	2548797	30.1	255.4	79.2	85.7
PF0038-C	ERS010124	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	07/09/2009		2652035460	2578592860	406320997	75	24.3	23279910	23054741	22443986	15159787	106.21	343.1	53.1	89.07
PF0039-C	ERS010107	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	09/09/2009		1017592144	972564584	45125774	75	25.8	23131060	21760395	19492793	9536357	42.02	274.5	84.7	83.88
PF0040-C	ERS010073	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	10/09/2009		1612448695	1394580711	98968512	75	24.2	23149802	22113553	20432250	10365653	59.65	285.8	53.3	85.16
PF0041-C	ERS154456	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	10/09/2009		1160200058	1097288158	41039251	99	25.3	22984013	21865734	20476975	11059930	47.61	267.9	74.8	85.11
PF0042-C	ERS010108	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	13/09/2009		1284012300	1223948729	62598863	75	25.8	23155938	22455460	21063060	12191514	52.75	283.1	86	87.08
PF0043-C	ERS009728	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	14/09/2009		4542062273	4383453693	230952849	75	25.2	23239786	23111963	23036938	22318849	186.59	292.4	75.3	89.45
PF0044-C	ERS010109	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	14/09/2009		198958860	187433688	27321754	75	26	22847713	17796602	7887803	9050	8.2	249.1	95.4	65.32
PF0045-C	ERS010110	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	16/09/2009		862013257	764953477	40221683	75	25	23082668	21149480	18397083	5860763	32.8	279.1	87.1	81.13
PF0046-C	ERS009735	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	16/09/2009		1309321955	1255080147	636300756	75	21.2	21335792	14007129	9856615	3656575	39.72	495.7	937.8	46.31
PF0047-C	ERS010081	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	16/09/2009		2206719270	2145762975	230818515	75	25.2	23172306	23074843	22943111	16662989	91.1	249.6	63.4	89.51
PF0048-C	ERS154480	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	17/09/2009		562684698	490926098	17905199	99	24.9	22042592	18268682	15209882	929150	22.25	261.2	75	69.85
PF0049-C	ERS010125	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	17/09/2009		4337388074	2613903318	148145076	75	21.5	23305031	23033644	22307337	15910578	111.05	251.4	84.2	89.73
PF0050-C	ERS010111	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	17/09/2009		193271013	144671597	18114745	75	24.5	22580033	14766490	3870370	10700	6.41	227	94.2	50.96
PF0051-C	ERS009723	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	18/09/2009		4303498392	4108480819	236733066	75	25.3	23280246	23211807	23142268	21960180	174.73	273	66.5	89.83
PF0052-C	ERS164658	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	18/09/2009		441087167	351414467	18366764	99	24.7	22498129	18968565	14885777	263714	15.58	257	87.8	72.54
PF0053-C	ERS164659	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	19/09/2009		651332233	562242033	26790300	99	25.3	23093932	21749759	19487524	472882	24.3	236	72.1	84.68
PF0054-C	ERS010090	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	19/09/2009		2406975384	2345827429	162871815	75	25.4	23257228	23178588	23098910	20765926	100.4	289.5	42.4	90.14
PF0055-C	ERS010112	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	22/09/2009		146074778	129500090	18126365	75	24.8	22328615	12984468	2836061	15110	5.8	248	95.3	41.82
PF0057-C	ERS010087	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	28/08/2009		5034482380	4808756030	287064560	75	25	23272109	23222755	23184720	22658477	202.29	303.5	51.1	90.15
PF0058-C	ERS009730	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	28/08/2009		3328404263	3182767895	170219612	75	25.4	23206965	23133434	23069954	22342260	136.23	288.3	78.4	89.81
PF0062-C	ERS010088	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	02/09/2009		4885543560	4742384242	365325490	75	26.2	23180013	23075146	23020242	22429710	202.77	299	55.1	89.61
PF0063-C	ERS013091	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	02/09/2009		4889082915	4762555227	371816683	75	25.1	23306915	23208730	22992592	20223049	199.02	345.8	49.5	90.37
PF0064-C	ERS164643	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	03/09/2009		533029627	434527227	22580633	99	25.1	23022425	21133571	17866689	309758	18.81	252.6	86.2	81.6
PF0065-C	ERS164644	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	04/09/2009		727499203	640726803	30820414	99	25.5	23211890	22620725	21067954	727696	27.54	245.4	76.3	88.49
PF0066-C	ERS164640	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	04/09/2009		521368647	436523847	20976342	99	25.1	22832020	20392520	17076545	295007	19.08	276.1	107	78.5
PF0069-C	ERS013063	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	07/09/2009		6083163161	5783425227	1521041220	75	24.2	23311597	23291969	23270404	22501841	233.55	416.5	802.6	89.88
PF0073-C	ERS010086	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	09/09/2009		3506176855	3201944708	135728709	75	25.3	23184874	23090050	23014230	21623062	137.18	264.6	49.9	89.67
PF0074-C	ERS009725	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	09/09/2009		1511638646	1282975470	54065097	75	24.8	23212846	22899669	22399504	13149110	54.94	294.6	63.5	88.76
PF0075-C	ERS154481	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	09/09/2009		1333664242	1155200242	45910592	99	24.8	22613825	20414443	18433293	10794796	50.71	265.9	76.4	78.29
PF0077-C	ERS010072	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	11/09/2009		3845810869	3622889265	1699020182	75	23.1	23275709	23155143	22918459	18506151	145.23	303.6	79.2	89.32
PF0078-C	ERS164682	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	11/09/2009		523336391	408204991	21024329	99	25.2	23197303	21779292	18436072	129600	17.52	236	76.4	84.15
PF0079-C	ERS154482	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	14/09/2009		1368824968	1318382868	47097807	99	25.3	22150611	19746951	17847202	11326075	59.03	279.4	78.4	76.09
PF0080-C	ERS010085	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	14/09/2009		4387021668	4155323584	230528289	75	25.3	23295596	23245940	23188444	22594233	176.85	281.6	31.9	90.18
PF0081-C	ERS009681	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	14/09/2009		1190100208	1005091204	266754145	75	20.9	21780900	17008415	13434753	4924353	40.06	451.4	881.4	59.68
PF0084-C	ERS009724	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	16/09/2009		2757839165	2559573633	130047802	75	24.9	23140592	22336297	21591880	17439288	109.72	286.3	64.8	85.55
PF0085-C	ERS164645	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	16/09/2009		723075550	606392350	28368237	99	24.9	23214606	22809760	21674752	478202	26.04	238.6	72.8	89.09
PF0089-C	ERS010104	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	19/09/2009		251029018	163734354	20145989	75	23.7	22822827	16696297	5385227	11315	7.17	208.9	92.9	59.48
PF0090-C	ERS010083	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	19/09/2009		1880031920	1680825584	67909980	75	25.2	23280616	23198350	23095092	18843671	71.92	293	38.8	90.19
PF0092-C	ERS164649	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena	22/09/2009		4000925806	3944042706	168884917	99	25.3	23184656	23004871	22782276	20609030	168.69	255.5	79	89.95
PF0095-C	ERS154457	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			919740680	856037680	30286558	99	25.5	22897147	21304447	19404832	7837087	37.22	263.8	72	82.71
PF0096-C	ERS013064	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			6435175604	6267496956	1724521900	75	22.9	23296644	23266881	23239650	22761256	251.14	448.9	864.8	89.64
PF0097-C	ERS013065	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			4305186067	4241480207	282843503	75	26.7	23269350	23209669	23154852	22483196	181.34	323.2	45.7	90.59
PF0098-C	ERS011021	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			3028909231	2964888959	333421115	74	25.1	23179417	23062359	22980240	20435764	126.47	581.2	1541.1	87.46
PF0099-C	ERS009979	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			347862968	235882364	26753536	75	23.9	22911348	20276358	11849625	37655	10.29	193.3	84.7	77.61
PF0100-C	ERS013092	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			4107975907	4022509423	486229710	75	25	23266057	23149006	23049144	21145871	167.84	324.7	85.3	90.16
PF0101-C	ERS013066	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			3602694194	3412862154	2373478194	75	23.5	23306761	23273967	23189632	19408116	139.63	384.5	124	88.33
PF0102-C	ERS013093	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			4466504228	4339961568	621831330	75	24.6	23306472	23238403	23119585	20700624	176.36	364.9	83.4	90.25
PF0103-C	ERS013067	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			4951255826	4839672474	982986519	75	24.6	23299910	23253374	23216429	21488528	194.42	397.6	145.1	90.33
PF0104-C	ERS013068	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			3806039934	3705084878	1336232687	75	24.2	23309576	23283165	23249186	20098756	151.26	380.5	112.4	89.56
PF0105-C	ERS164646	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			931221085	836286685	36014111	99	25	23158069	22684770	21781261	3849535	36.04	245.2	78.2	88.56
PF0106-C	ERS164652	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			746170234	640924834	27617747	99	25	22994294	21788560	19965491	945729	27.82	244.8	74.2	84.39
PF0107-C	ERS013094	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			1264286969	1238388069	236885071	75	25.6	23113171	22419063	21302526	12299531	53.56	330.5	67.2	86.81
PF0108-C	ERS011022	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			4514159225	4410952973	641508032	75	26.4	23130658	23028361	22941945	21197493	188.32	718.5	1706.8	87.83
PF0109-C	ERS013069	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			3946514120	3831797820	560622890	75	24.3	23202401	22672781	21955014	16584611	152.19	382.3	45.3	87.83
PF0111-C	ERS164661	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			582477728	491937628	23363386	99	25.3	22816221	20471363	17511624	406455	21.52	258.7	83.1	78.89
PF0112-C	ERS013070	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			3377498445	3285138229	583819363	75	24.6	23274654	22992173	22553816	17741142	135.68	359.3	44.2	89.31
PF0113-C	ERS013071	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			3440585641	3309287965	689541760	75	23.3	22981775	21529617	19971298	14160363	126.07	411	268.4	81.37
PF0114-C	ERS013072	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			2007517091	1867607855	249381634	75	23.8	22739347	21086893	19516900	12614805	79.67	400.2	48.5	80.63
PF0115-C	ERS013073	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			3231785159	3117134523	407873974	75	24.2	23159281	22770150	22224801	17120116	128.29	345.4	42.6	88.47
PF0116-C	ERS013095	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			4183700731	4060630359	475755419	75	25.6	23296591	23247438	23154291	21290341	171.81	342.7	49.6	90.7
PF0117-C	ERS011023	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			4608997299	4438430271	915743154	73	24.3	23213981	23128685	23064486	21363305	184.14	843.5	2056.8	87.2
PF0118-C	ERS164637	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			779663122	686551422	32192453	99	25.4	23075040	21576351	19393912	2368925	29.71	255.1	81.2	83.47
PF0119-C	ERS164665	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			730218642	643641242	31180201	99	25.3	23097357	22031601	20231306	972485	27.81	238.3	77	85.82
PF0121-C	ERS011024	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			2160640543	2105874335	593116133	74	24.8	23083159	22391466	21292267	14429855	90.03	642.4	1663.2	83.75
PF0122-C	ERS013074	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			3019098228	2881779300	319806613	75	23.8	23082901	22391246	21559328	16132113	119.24	345.9	43.6	86.58
PF0123-C	ERS013075	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			2851343679	2732148091	549593850	75	24.2	22169620	20298968	18947359	13998162	118.22	411	37.6	77.08
PF0124-C	ERS164651	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			521818372	407648972	18193178	99	24.9	22876770	20531912	17201716	177459	17.75	258.8	76	78.55
PF0125-C	ERS013076	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			2200787361	2086916409	417534375	75	24	22463221	20403799	18614373	12241989	89.06	356.7	40	77.12
PF0127-C	ERS011025	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			5039774575	4889962387	969980305	74	24.4	23252927	23184134	23097302	20685616	196.33	617.7	1550	88.02
PF0128-C	ERS164656	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			991415124	891255924	39568239	99	25	23296021	23182610	22786774	4354423	38.18	238.6	68.9	90.61
PF0129-C	ERS154485	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			412497488	329408088	13698970	99	24.2	20802250	15946216	12627295	374871	15.81	271.6	83.1	60.7
PF0130-C	ERS013096	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			3800876483	2130184595	420899383	75	23.7	23299319	23218418	23049954	18203549	90.48	316.3	56.3	88.24
PF0131-C	ERS013077	1017	Population genetics of natural populations in Northern Ghana	Lucas Amenga-Etego	lucasmenga@gmail.com	Ghana	Kassena			1878415456	1771332748	317973109	75	23.2	22438266	20023387	17923761	11009769	74.21	369.4	169	75.16
